response-time,status-code,test_name,runtime,batch
2.1342,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1381,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1443,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1419,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1455,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1369,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.134,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1296,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1345,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1309,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1303,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1304,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1328,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1303,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1327,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1349,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1301,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1328,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1438,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1439,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1456,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1513,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1445,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1463,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1468,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1405,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1302,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1317,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1314,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1348,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1319,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1342,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1325,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.134,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1337,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1306,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1307,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1354,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1418,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1305,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1323,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1352,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1319,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1313,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1329,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1308,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1368,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1369,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1364,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1366,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.137,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.136,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1375,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1337,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1436,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1316,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1326,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1343,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1325,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1431,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1352,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1345,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1358,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1401,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1572,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1431,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1388,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1324,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1362,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1314,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1355,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1352,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1365,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1387,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1327,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1324,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1358,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1331,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1369,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1313,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1355,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1344,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1353,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1346,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1315,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.136,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1346,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.141,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1309,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1343,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1333,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1355,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1316,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.133,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1357,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1356,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1359,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1327,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1323,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1352,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1346,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1326,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1355,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1473,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.148,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1359,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1342,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1343,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1378,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1357,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1327,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1364,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1324,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1371,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1319,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1346,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1352,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1336,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1328,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.131,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1367,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.134,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1362,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1323,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1345,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1323,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1333,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1371,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1359,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1392,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1349,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1357,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1351,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1383,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1353,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1314,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1344,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.134,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1326,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.133,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
2.1352,200,rust-wasmedge-fuzzysearch-http,wasmedge,nomad
